"French","English"
"enfants","children"
"assez","enough"
"raison","raison"
"aurais","would have"
"voulais","wanted"
"elles","they"
"parle","speak"
"ok","OK"
"jours","days"
"dÃ»","from"
"moment","moment"
"heure","hour"
"puis","then"
"gars","guys"
"hommes","men"
"amour","love"
"tard","late"
"toutes","all"
"sommes","are"
"tuer","kill"
"eh","eh"
"ami","friend"
"connais","know"
"petite","small"
"aider","to help"
"chance","chance"
"savez","know"
"partir","leave"
"sait","knows"
"combien","How many"
"voiture","car"
"tant","so much"
"pris","taken"
"part","go"
"problÃ¨me","problem"
"prends","take"
"porte","gate"
"coup","cut"
"serait","would be"
"venir","come"
"hui","hui"
"famille","family"
"travail","work"
"pu","could"
"seule","only"
"sens","meaning"
"ni","neither"
"allons","lets go"
"revoir","see again"
"idÃ©e","idea"
"putain","whore"
"passer","pass"
"contre","versus"
"comprends","understand"
"entendu","understood"
"trouvÃ©","found"
"trouver","to find"
"vieux","old"
"vient","come"
"pendant","during"
"aurait","would have"
"quelques","some "
"attention","Warning"
"demande","request"
"chercher","look for"
"sous","under"
"voici","here is"
"pourrait","could"
"sang","blood"
"pouvez","can"
"sortir","go out"
"question","question"
"histoire","story"
"amis","friends"
"venez","come"
"frÃ¨re","brother"
"rester","stay"
"fini","finished"
"ville","town"
"nouveau","new"
"truc","thing"
"tiens","here"
"mois","month"
"eux","them"
"mec","dude"
"yeux","eyes"
"laisse","leave alone"
"super","Great"
"belle","beautiful"
"longtemps","long time"
"police","police"
"eau","water"
"heures","hours"
"car","because"
"importe","imported"
"cas","case"
"vont","are going"
"chaque","each"
"terre","earth"
"place","square"
"tuÃ©","kill"
"type","kind"
"main","hand"
"pardon","sorry"
"ensemble","together"
"seulement","only"
"guerre","war"
"beau","beautiful"
"vers","towards"
"mme","Mrs"
"prie","pray"
"devant","before"
"trouve","find"
"partie","part"
"suite","after"
"compris","understood"
"matin","morning"
"leurs","their"
"aucun","none"
"arrivÃ©","come"
"dessus","above"
"chÃ©rie","dear"
"mettre","put"
"aide","assistance"
"Ã©taient","were"
"ie","ie"
"perdu","lost"
"fin","end"
"sois","be"
"premier","first"
"genre","gender"
"aimerais","would like to"
"droit","right"
"donne","given"
"attendez","wait"
"jeune","young"
"feu","fire"
"devrais","should"
"enfant","child"
"chambre","bedroom"
"gros","big"
"cÃ´tÃ©","side"
"venu","came"
"loin","far"
"laisser","let"
"donner","give"
"jouer","to play"
"savais","knew"
"compte","account"
"s","s"
"parlÃ©","speak"
"minutes","minutes"
"regardez","look"
"train","train"
"premiÃ¨re","first"
"pouvoir","power"
"aura","will have"
"mourir","die"
"derniÃ¨re","last"
"donnÃ©","given"
"ia","IA"
"mari","husband"
"Ã©coute","listen"
"enfin","finally"
"devrait","should"
"mis","put"
"film","film"
"aucune","none"
"fort","strong"
"faÃ§on","way"
"pays","country"
"prÃªt","ready"
"madame","madam"
"femmes","women"
"affaire","affair"
"pourrais","could"
"espÃ¨re","hope"
"parti","left"
"h","h"
"boulot","gig"
"endroit","place"
"fou","mad"
"corps","body"
"hier","yesterday"
"dont","whose"
"dÃ©solÃ©e","sorry"
"grande","big"
"point","point"
"cinq","five"
"dehors","out"
"filles","girls"
"cause","cause"
"vivre","live"
"prÃ¨s","close"
"pensais","thought"
"garÃ§on","boy"
"chef","chief"
"haut","high"
"capitaine","captain"
"dirait","would say"
"bÃ©bÃ©","baby"
"celui","the one"
"demandÃ©","demand"
"possible","possible"
"mains","hands"
"ainsi","Thus"
"quatre","four"
"nouvelle","news"
"annÃ©es","years"
"plein","full"
"semaine","week"
"dites","say"
"croire","to believe"
"marche","walking"
"tour","round"
"Ã©cole","school"
"manger","to eat"
"plutÃ´t","instead"
"docteur","doctor"
"ceux","those"
"vÃ©ritÃ©","truth"
"vue","seen"
"arrÃªter","Stop"
"essaie","try"
"envie","urge"
"bientÃ´t","soon"
"instant","moment"
"dernier","last"
"affaires","business"
"arriver","to arrive"
"demander","ask"
"meilleur","better"
"font","make"
"derriÃ¨re","behind"
"c","vs"
"dollars","dollars"
"presque","almost"
"dr","DR"
"tellement","so much"
"tomber","to fall"
"journÃ©e","daytime"
"voulait","wanted to"
"appeler","to call"
"bureau","desk"
"confiance","trust"
"garde","keep"
"attendre","expect"
"numÃ©ro","number"
"serai","will be"
"dur","hard"
"Ã¡","has"
"souviens","remember"
"o","o"
"voyez","see"
"cours","Classes"
"bonsoir","good evening"
"route","road"
"fera","will"
"prend","take"
"cul","ass"
"abord","on board"
"important","important"
"peine","sadness"
"croyais","believed"
"mot","word"
"devez","must"
"suffit","enough"
"minute","minute"
"ferme","closed"
"ben","ben"
"plaisir","pleasure"
"chien","dog "
"jeu","Game"
"seigneur","lord"
"messieurs","gentlemen"
"calme","calm"
"voudrais","would like"
"heureux","happy"
"prenez","take"
"mariage","wedding"
"voit","sees"
"parents","parents"
"lls","lls"
"dedans","inside"
"entrer","walk in"
"lit","bed"
"parfait","perfect"
"fous","crazy"
"mlle","Ms"
"rentrer","to return"
"ait","has"
"musique","music"
"arrÃªtez","Stop"
"autant","as much"
"service","service"
"reviens","come back"
"ceci","this"
"drÃ´le","funny"
"attend","waits"
"parfois","sometimes"
"tÃ©lÃ©phone","telephone"
"retour","return"
"ira","will go"
"e","e"
"pauvre","poor"
"verre","glass"
"gÃ©nÃ©ral","general"
"new","new"
"six","six"
"pensÃ©","think"
"l","I"
"impossible","impossible"
"fÃªte","Party"
"adore","adore"
"coeur","heart"
"aimes","love"
"ci","this"
"ferai","will do"
"prÃ©sident","President"
"doute","doubt"
"facile","easy"
"entends","hear"
"payer","pay"
"appelÃ©","called"
"prison","jail"
"john","john"
"sors","go outside"
"cafÃ©","coffee"
"vaut","worth"
"mauvais","Wrong"
"chÃ©ri","Dear"
"oubliÃ©","forgot"
"bras","arms"
"i","I"
"gentil","kindly"
"faute","mistake"
"Ã©quipe","crew"
"exactement","exactly"
"cÅ“ur","heart"
"penser","think"
"changer","to change"
"commence","begin"
"lieu","venue"
"entendre","To hear"
"ies","ies"
"roi","King"
"plan","plan"
"partout","everywhere"
"joue","play"
"cher","dear"
"morts","dead"
"rendre","to return"
"Ã©crit","writing"
"travailler","work"
"malade","sick"
"sinon","otherwise"
"gÃ©nial","great"
"regarder","to look at"
"veulent","want"
"montrer","to show"
"rentre","go home"
"travaille","work"
"armÃ©e","army"
"voulu","desired"
"cherche","look for"
"Ã©tat","state"
"boire","to drink"
"sÃ©curitÃ©","security"
"dÃ¨s","of the"
"esprit","spirit"
"annÃ©e","year"
"dix","ten"
"york","york"
"laissÃ©","leave alone"
"bois","wood"
"mets","put"
"propre","own"
"soyez","be"
"jack","jack"
"essayer","try"
"faisait","did"
"tÃ´t","early"
"surtout","above all"
"arme","armed"
"t","t"
"rÃªve","dream"
"perdre","to lose"
"avis","notice"
"semble","seems"
"pire","worse "
"simple","simple"
"penses","thinking"
"parles","speak"
"paix","peace"
"livre","book"
"dormir","sleep"
"voyons","let's see"
"difficile","hard"
"retard","delay"
"allait","was going to"
"d","d"
"sujet","topic"
"appris","learned"
"ensuite","afterwards"
"sauf","except"
"maÃ®tre","master"
"morte","dead"
"noir","black"
"or","gold"
"dÃ®ner","having dinner"
"choix","choice"
"serais","would be"
"Ã©coute","listen"
"sale","dirty"
"Ã©tiez","have been"
"sÃ»rement","surely"
"an","year"
"ordre","order"
"souvent","often"
"essayÃ©","tried"
"peuvent","can"
"visage","face"
"bout","end "
"changÃ©","exchange"
"sÃ©rieux","serious"
"inquiÃ¨te","worry"
"Ã¢ge","age"
"photo","Photo"
"rue","street"
"tirer","pull"
"comprendre","to understand"
"face","face"
"semaines","weeks"
"marchÃ©","market"
"questions","Questions"
"honneur","honor"
"ciel","sky"
"allÃ©","go"
"garder","To keep"
"chemin","path"
"grave","severe"
"gauche","left"
"petits","small"
"courant","running"
"amie","friend"
"nouvelles","new"
"avion","plane"
"con","stupid"
"content","happy"
"force","strength"
"millions","millions"
"oublie","forget"
"devoir","to have to"
"prochaine","next"
"prix","price"
"propos","about"
"bateau","boat"
"bouge","move"
"voix","voice"
"rouge","red"
"restez","Stay"
"celle","that"
"pouvais","could"
"personnes","people"
"ferais","would do"
"dÃ©but","beginning"
"espÃ¨ce","species"
"gueule","mouth"
"acheter","to buy"
"continue","keep on going"
"sort","spell"
"faim","hunger"
"long","long"
"j","J"
"voyage","travel"
"message","message"
"sorte","sort"
"reÃ§u","received"
"bienvenue","welcome"
"idiot","idiot"
"certains","some"
"hÃ´pital","hospital"
"promis","promised"
"devenir","become"
"ouvre","open"
"grÃ¢ce","grace"
"sÃ»re","safe"
"problÃ¨mes","problems"
"armes","weapons"
"trucs","stuff"
"camp","camp"
"allais","alla"
"occupe","to keep busy"
"devait","had to"
"manque","lack"
"connaissez","know"
"thÃ©","tea"
"avaient","had"
"cheveux","hair"
"soleil","Sun"
"salle","Hall"
"gagner","to win"
"laissez","leave"
"erreur","mistake"
"cru","believed"
"pars","go"
"bizarre","weird"
"croyez","believe"
"sac","bag"
"hÃ´tel","hotel"
"oncle","uncle"
"piÃ¨ce","room"
"pouvait","could"
"fond","bottom"
"soirÃ©e","evening"
"secret","secret"
"patron","boss"
"rapport","report"
"apprendre","learn"
"commencÃ©","started"
"sauver","save"
"seconde","second"
"pensez","think"
"allÃ´","hi"
"ailleurs","somewhere else"
"agent","agent"
"froid","cold"
"seras","will be"
"pied","foot"
"jolie","pretty one"
"revenir","come back"
"scÃ¨ne","stage"
"pieds","feet"
"n","not"
"devons","owe"
"groupe","band"
"carte","map "
"aurai","will have"
"effet","effect"
"neuf","new"
"fallait","had to"
"monte","mounted"
"battre","to beat"
"noÃ«l","Xmas"
"venue","come"
"mots","words"
"tire","drawn"
"droite","right"
"libre","free"
"soeur","sister"
"situation","situation"
"seront","will be"
"faux","fake"
"bordel","mess"
"foutre","cum"
"lumiÃ¨re","light"
"euh","uh"
"incroyable","unbelievable"
"tue","kill"
"joli","attractive"
"connaÃ®t","know"
"debout","upright"
"colonel","colonel"
"cheval","horse"
"Ã©coutez","Listen"
"george","George"
"joe","joe"
"vieille","old"
"entrez","Come in"
"intÃ©rieur","interior"
"coin","corner"
"auras","auras"
"gagnÃ©","won"
"fric","money"
"loi","law"
"absolument","absolutely"
"dame","lady"
"cool","cool"
"magnifique","gorgeous"
"dos","back"
"occuper","to occupy"
"prÃ©sent","here"
"retrouver","to regain"
"rÃ©ussi","successful"
"frank","Frank"
"rencontrer","to encounter"
"aviez","had"
"meilleure","best"
"Ã¢me","soul"
"prÃªts","loans"
"doucement","gently"
"table","table"
"lettre","letter"
"rappelle","remember"
"sam","sat"
"fut","was"
"risque","risk"
"ordres","orders"
"appel","call"
"commencer","begin"
"terminÃ©","ended"
"agit","act"
"blanc","White"
"sÅ“ur","sister"
"pareil","the same"
"charlie","charlie"
"chaud","hot"
"finir","finish"
"touche","touches "
"avance","advance"
"ignore","ignore"
"meurtre","murder"
"tranquille","calm"
"anniversaire","anniversary"
"dÃ©jeuner","lunch"
"disais","said"
"bord","edge"
"tom","Tom"
"jeunes","youth"
"accident","accident"
"parlez","speak"
"fasse","do"
"complÃ¨tement","completely"
"dÃ©teste","hated"
"clair","light"
"marcher","walk"
"disait","said"
"mauvaise","bad"
"envoyÃ©","sent"
"Ã¢","has"
"professeur","teacher"
"heureuse","happy"
"doivent","must"
"midi","midday"
"lire","read"
"moyen","medium"
"ferait","would do"
"commandant","commanding officer"
"vraie","real"
"sept","seven"
"forme","form"
"tombe","falls"
"silence","silence"
"sortez","get out"
"connaÃ®tre","to know"
"puisse","may"
"cadeau","present"
"flics","cops"
"mer","sea"
"mÃ©decin","doctor"
"exact","exact"
"dÃ©cidÃ©","decided"
"moitiÃ©","half"
"surprise","surprise"
"avocat","lawyer"
"montre","show"
"b","B"
"su","su"
"porter","carry"
"tÃ©lÃ©","TV"
"vivant","living"
"jure","sworn"
"disent","say"
"mr","MR"
"serez","will be"
"devriez","should"
"devenu","became"
"aimÃ©","like"
"diable","devil"
"ligne","line"
"mission","assignment"
"suppose","Assumed"
"chacun","each"
"autour","around"
"pote","pal"
"grosse","big"
"expliquer","explain"
"arrivÃ©e","arrival"
"monter","ascend"
"balle","ball"
"selon","according"
"photos","Pictures"
"contrÃ´le","control"
"prÃªte","ready"
"anglais","English"
"sorti","got out"
"k","k"
"bons","good"
"disparu","faded away"
"tenir","hold"
"simplement","merely"
"quitter","leave"
"envoie","send"
"paul","Paul"
"aimer","to like"
"voie","way"
"paris","Paris"
"classe","class"
"huit","eight"
"offre","offer"
"poste","job"
"dangereux","dangerous"
"attaque","offensive"
"impression","impression"
"folle","crazy woman"
"michael","Michael"
"mange","eat"
"bravo","well done"
"arriÃ¨re","back"
"amÃ©rique","America"
"suivre","follow"
"aille","wing"
"oublier","to forget"
"peuple","people"
"baiser","kiss"
"rencontrÃ©","meet"
"honte","shame"
"connard","asshole"
"trou","hole"
"retourner","flip"
"chanson","song"
"change","exchange"
"arrÃªtÃ©","stopped"
"enfer","hell "
"Ã©crire","to write"
"livres","books"
"habitude","habit"
"rÃ©ponse","answer"
"david","david"
"lieutenant","lieutenant"
"savait","knew"
"radio","radio"
"tenez","hold"
"bande","bandaged"
"bob","bob"
"rend","renders"
"compagnie","company"
"connu","known"
"secours","rescue"
"danse","dance"
"met","put"
"vol","flight"
"vit","lives"
"conneries","bullshit"
"aurez","will have"
"imagine","conceived"
"boÃ®te","box"
"jouÃ©","play"
"triste","sad"
"sud","south"
"lu","read"
"tel","Phone"
"merveilleux","marvellous"
"pute","whore"
"aie","Ouch"
"ressemble","looks like"
"coucher","to sleep"
"ennuis","troubles"
"volÃ©","Fly"
"sortie","exit"
"devais","had to"
"combat","fight"
"bouche","stuffy"
"certain","certain"
"visite","visit"
"existe","exist"
"bÃªte","stupid"
"retourne","return"
"approche","approach"
"pourtant","yet"
"plusieurs","various"
"rire","laugh"
"but","aim"
"sergent","sergeant"
"public","audience"
